name,mass,radius,x,y,z,vx,vy,vz,ax,ay,az
Mars,6.4171e23,3.3895e6,0,0,0,0,0,0,0,0,0
Phobos,1.0659e16,1.1266e4,9.376e6,0,0,0,2137.0,0,0,0,0
Deimos,1.4762e15,6.2e3,0,2.3463e7,0,-1351.0,0,0,0,0,0
