name,mass,radius,x,y,z,vx,vy,vz,ax,ay,az
Earth,5.972e24,6.371e6,0,0,0,0,0,0,0,0,0
Moon,7.342e22,1.737e6,3.844e8,0,0,0,0,0,0,0,0
